MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,       997.90,       997.90,      1000.00,       997.30,       999.50,                  2015881.45,2019, ,46,      1076.00,       997.00
N,NJ,86LTFH24,SERENCD 8.60% SR.IV OP8,      1028.00,      1026.50,      1030.01,      1026.00,      1030.00,                   484621.05,471, ,14,      1030.01,       996.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       960.30,       957.00,       957.00,       952.00,       955.95,                  1485629.15,1555, ,12,       999.00,       840.00
N,NK,750IRFC35,TAX FREE7.50% SR.104 A,      1217.99,      1242.70,      1242.70,      1238.30,      1238.30,                    57155.40,46, ,2,      1259.00,      1161.21
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                   115000.00,115, ,12,      1175.00,       920.00
N,NK,IIFLZC24,SEC RE NCD 0% SR.IV,      1208.80,      1208.80,      1208.80,      1208.80,      1208.80,                    60440.00,50, ,1,      1216.75,      1060.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,       998.90,       930.00,       971.00,       930.00,       971.00,                     6592.00,7, ,2,      1040.00,       930.00
N,NL,829LTFH24,SERENCD 8.29% SR.V OP10,      1000.00,      1000.55,      1004.00,       999.00,       999.00,                   232879.00,233, ,11,      1099.00,       977.93
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       932.35,       930.00,       939.00,       930.00,       933.21,                  1340098.00,1437, ,13,       978.00,       835.20
N,NL,94IFCI25,9.40 % SRNCD TR II SR III,      1017.00,      1015.00,      1015.00,      1015.00,      1015.00,                   203000.00,200, ,1,      1089.00,       955.00
N,NM,1030ICCL28,SEC RE NCD 10.30% SR.VII,       900.00,       955.00,       955.00,       955.00,       955.00,                   109825.00,115, ,1,      1050.00,       800.00
N,NM,875IIFL26,SEC RE NCD 8.75% SR.VI,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    30000.00,30, ,2,      1076.00,       865.00
N,NN,729IRFC26,TAX FREE  7.29% SR. 107A,      1097.76,      1099.00,      1099.00,      1099.00,      1099.00,                     1099.00,1, ,1,      1109.99,      1018.03
N,NN,835PCHF23,SEC RE NCD 9% SR.IV,      1031.25,      1031.25,      1031.25,      1031.25,      1031.25,                    20625.00,20, ,3,      1139.00,       960.03
N,NN,865LTFH26,SERENCD 8.65% SR.VI OP12,      1034.00,      1032.00,      1032.00,      1029.00,      1030.00,                   260599.00,253, ,8,      1124.80,      1000.00
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1175.00,      1167.50,      1167.90,      1158.30,      1158.32,                  1395710.00,1200, ,4,      1208.85,      1097.25
N,NO,85IIFL25,SEC RE NCD 8.5% SR.I,      1000.00,       990.00,      1000.00,       977.45,      1000.00,                    94422.50,96, ,4,      1049.90,       932.20
N,NP,IIFLZC25A,SEC RE NCD 0% SR.II,      1081.00,      1079.00,      1079.00,      1079.00,      1079.00,                    10790.00,10, ,1,      1082.70,       842.80
N,NQ,875IIFL26A,SEC RE NCD 8.75% SR.III,       960.80,       960.80,       965.00,       960.80,       965.00,                    45166.00,47, ,2,      1025.00,       930.55
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1001.95,      1000.00,      1000.00,      1000.00,      1000.00,                   570000.00,570, ,9,      1286.00,       952.50
