Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03052024,2370002803,0002449
Trade Date <03-MAY-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,228,ASAHISONG,EQ,82475,16734,20.29
20,229,ASAL,EQ,217482,94919,43.64
20,230,ASALCBR,EQ,180668,87114,48.22
20,231,ASCOM,ST,500,500,100.00
20,232,ASHAPURMIN,EQ,105505,76265,72.29
20,233,ASHIANA,EQ,169916,56346,33.16
20,234,ASHIMASYN,EQ,590172,390896,66.23
20,235,ASHOKA,EQ,986693,352774,35.75
20,236,ASHOKLEY,EQ,26107306,9118846,34.93
20,237,ASIANENE,EQ,267414,181746,67.96
20,238,ASIANPAINT,EQ,1594445,726874,45.59
20,239,ASIANTILES,EQ,360637,220799,61.22
20,240,ASKAUTOLTD,EQ,126852,72332,57.02
20,241,ASLIND,ST,2000,2000,100.00
20,242,ASPINWALL,EQ,8378,4028,48.08
20,243,ASPIRE,SM,282000,228000,80.85
20,244,ASTEC,EQ,147783,77875,52.70
20,245,ASTERDM,EQ,1956603,1000348,51.13
20,246,ASTRAL,EQ,298394,157179,52.67
20,247,ASTRAMICRO,EQ,288190,133364,46.28
20,248,ASTRAZEN,EQ,24022,12989,54.07
20,249,ATFL,EQ,37377,23395,62.59
20,250,ATGL,EQ,2473403,1312553,53.07
20,251,ATL,EQ,386650,223868,57.90
20,252,ATMASTCO,SM,701600,289600,41.28
20,253,ATUL,EQ,285834,80629,28.21
20,254,ATULAUTO,EQ,842187,214820,25.51
20,255,AUBANK,EQ,3662846,1538508,42.00
20,256,AURDIS,SM,17500,11500,65.71
20,257,AUROIMPEX,SM,11200,8000,71.43
20,258,AUROPHARMA,EQ,802670,369059,45.98
20,259,AURUM,EQ,89810,60173,67.00
20,260,AUSOMENT,EQ,8392,5537,65.98
20,261,AUTOAXLES,EQ,56701,32635,57.56
20,262,AUTOBEES,EQ,171185,116002,67.76
20,263,AUTOIETF,EQ,419766,334887,79.78
20,264,AUTOIND,EQ,76836,49526,64.46
20,265,AVADHSUGAR,EQ,75244,38635,51.35
20,266,AVALON,EQ,153248,122858,80.17
20,267,AVANTIFEED,EQ,920656,290378,31.54
20,268,AVG,EQ,44401,25949,58.44
20,269,AVONMORE,EQ,139864,101195,72.35
20,270,AVPINFRA,SM,364800,310400,85.09
20,271,AVROIND,EQ,19213,9515,49.52
20,272,AVTNPL,EQ,6674926,1098657,16.46
20,273,AWHCL,EQ,62449,32063,51.34
20,274,AWL,EQ,1392909,758946,54.49
20,275,AXISBANK,EQ,9993632,5280666,52.84
20,276,AXISBNKETF,EQ,2256,2102,93.17
20,277,AXISBPSETF,EQ,994492,863644,86.84
20,278,AXISCADES,EQ,72614,35839,49.36
20,279,AXISCETF,EQ,1883,1232,65.43
20,280,AXISGOLD,EQ,476786,394275,82.69
20,281,AXISHCETF,EQ,7004,6126,87.46
20,282,AXISILVER,EQ,8532,4841,56.74
20,283,AXISNIFTY,EQ,10037,9400,93.65
20,284,AXISTECETF,EQ,64064,58920,91.97
