"Security Name","Symbol Name","Trade Date","Quantity"
"TATA CHEMICALS LTD","TATACHEM","18-Sep-2024","125"
"KOTAK MAHINDRA BANK LTD","KOTAKBANK","18-Sep-2024","1655"
"IRB INFRA DEV LTD.","IRB","18-Sep-2024","129991"
"CAN FIN HOMES LTD        ","CANFINHOME","18-Sep-2024","65"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","18-Sep-2024","525"
"KITEX GARMENTS LTD       ","KITEX","18-Sep-2024","830"
"HDFC AMC LIMITED","HDFCAMC","18-Sep-2024","1"
"BANDHAN BANK LIMITED","BANDHANBNK","18-Sep-2024","10675"
"INTERGLOBE AVIATION LTD  ","INDIGO","18-Sep-2024","31"
"BHARAT PETROLEUM CORP  LT","BPCL","18-Sep-2024","631"
"GRASIM INDUSTRIES LTD","GRASIM","18-Sep-2024","109"
"LIC HOUSING FINANCE LTD","LICHSGFIN","18-Sep-2024","82"
"TATA STEEL LIMITED","TATASTEEL","18-Sep-2024","2189"
"BALRAMPUR CHINI MILLS LTD","BALRAMCHIN","18-Sep-2024","500"
"IDEA CELLULAR LIMITED","IDEA","18-Sep-2024","29300"
"TECH MAHINDRA LIMITED","TECHM","18-Sep-2024","105271"
"CHOLAMANDALAM IN & FIN CO","CHOLAFIN","18-Sep-2024","50"
"HINDUSTAN COPPER LIMITED","HINDCOPPER","18-Sep-2024","360"
"ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED","ICICIGI","18-Sep-2024","2"
"DIXON TECHNO (INDIA) LTD","DIXON","18-Sep-2024","142"
"DALMIA BHARAT LIMITED","DALBHARAT","18-Sep-2024","110"
"ZYDUS LIFESCIENCES","ZYDUSLIFE","18-Sep-2024","5"
"PUNJAB NATIONAL BANK","PNB","18-Sep-2024","2600"
"TATA POWER CO LTD","TATAPOWER","18-Sep-2024","425"
"POWER GRID CORP. LTD.","POWERGRID","18-Sep-2024","65"
"CONTAINER CORP OF IND LTD","CONCOR","18-Sep-2024","100"
"ICICI PRU LIFE INS CO LTD ","ICICIPRULI","18-Sep-2024","4250"
"L&T FINANCE LIMITED","LTF","18-Sep-2024","6437"
"PRUDENT CORP ADV SER LTD","PRUDENT","18-Sep-2024","3"
"ASHOK LEYLAND LTD","ASHOKLEY","18-Sep-2024","100"
"BANK OF BARODA","BANKBARODA","18-Sep-2024","195"
"BHARAT ELECTRONICS LTD","BEL","18-Sep-2024","500"
"HDFC BANK LTD","HDFCBANK","18-Sep-2024","1164"
"ICICI BANK LTD.","ICICIBANK","18-Sep-2024","266769"
"INDUSIND BANK LIMITED","INDUSINDBK","18-Sep-2024","702"
"INFRA. DEV. FIN. CO. LTD","IDFC","18-Sep-2024","991"
"POWER FIN CORP LTD.","PFC","18-Sep-2024","2120"
"COLGATE PALMOLIVE LTD.","COLPAL","18-Sep-2024","3"
"AU SMALL FINANCE BANK LIMITED","AUBANK","18-Sep-2024","7"
"HINDUSTAN AERONAUTICS LTD","HAL","18-Sep-2024","818"
"VEDANTA LIMITED","VEDL","18-Sep-2024","25"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","18-Sep-2024","204"
