Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21062024,3005447836,0002490
Trade Date <21-JUN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,213,AARVEEDEN,EQ,80583,31121,38.62
20,214,AARVI,EQ,13475,7707,57.19
20,215,AATMAJ,SM,20000,16000,80.00
20,216,AAVAS,EQ,184381,90816,49.25
20,217,ABB,EQ,318529,142623,44.78
20,218,ABBOTINDIA,EQ,17463,9472,54.24
20,219,ABCAPITAL,EQ,7175461,2263289,31.54
20,220,ABCOTS,SM,1000,1000,100.00
20,221,ABFL26,N1,103,103,100.00
20,222,ABFL28,N3,25,25,100.00
20,223,ABFRL,EQ,8489463,3919773,46.17
20,224,ABSLAMC,EQ,248924,178258,71.61
20,225,ABSLBANETF,EQ,15109,10421,68.97
20,226,ABSLLIQUID,EQ,3434,2221,64.68
20,227,ABSLNN50ET,EQ,14033,8808,62.77
20,228,ABSLPSE,EQ,776375,315371,40.62
20,229,ABSMARINE,SM,311000,194000,62.38
20,230,ACC,EQ,291043,156620,53.81
20,231,ACCELYA,EQ,21733,9644,44.37
20,232,ACCENTMIC,SM,25000,16500,66.00
20,233,ACCORD,SM,4000,4000,100.00
20,234,ACCURACY,EQ,819817,605113,73.81
20,235,ACE,EQ,362454,171463,47.31
20,236,ACEINTEG,EQ,16151,12935,80.09
20,237,ACI,EQ,717321,237970,33.17
20,238,ACL,EQ,52526,29692,56.53
20,239,ACLGATI,EQ,737094,437865,59.40
20,240,ACSAL,SM,12000,9000,75.00
20,241,ADANIENSOL,EQ,722608,372358,51.53
20,242,ADANIENT,EQ,4697655,3057928,65.09
20,243,ADANIGREEN,EQ,753905,451057,59.83
20,244,ADANIPORTS,EQ,25891893,18223793,70.38
20,245,ADANIPOWER,EQ,7325293,4917924,67.14
20,246,ADFFOODS,EQ,1752172,507203,28.95
20,247,ADL,EQ,10362,3364,32.46
