7.64% TAX FREE TRI SRIIB      ,764NABAR31,N2,N,0001135.00,0001140.00,0001148.99,0001139.99,0001143.44,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.64% TAX FREETRI SR2B        ,764HUDCO31,N8,N,0001140.00,0001145.00,0001145.00,0001140.00,0001140.03,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
7.74% TAX FREE NCD            ,774IREDA31,N7,N,0001141.42,0001150.00,0001151.00,0001140.00,0001141.39,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.12/8.32% TAX FREE NCD       ,812REC27  ,NI,N,0001069.75,0001056.10,0001069.00,0001056.10,0001069.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.20 NCD05MAR27 FV 1000       ,82HUDCO27 ,N2,N,0001095.00,0001088.00,0001088.00,0001088.00,0001088.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.49% SEC NON-CUM RED NCD     ,849NTPC25 ,N7,N,0000005.20,0000005.20,0000005.20,0000005.13,0000005.16,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.51% TAX FREETRI SR2A        ,851HUDCO28,NB,N,0001167.00,0001400.00,0001400.00,0001400.00,0001400.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.75% TAX FREE TR I S IIB     ,875NHAI29 ,N6,N,0001157.00,0001156.60,0001165.00,0001153.00,0001157.31,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.76% TAX FREETRI SR2B        ,876HUDCO28,ND,N,0001180.00,0001179.00,0001180.00,0001179.00,0001180.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.91%S-R-NCD SERIES 3B        ,891NTPC33 ,N6,N,0001318.80,0001318.00,0001319.90,0001310.00,0001319.90,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.92% SEC RED BOND S3B        ,892NHPC33 ,N6,N,0001270.00,0001300.00,0001300.00,0001300.00,0001300.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
8.92% TAX FREE NCD            ,892PFCL33 ,N8,N,0001315.00,0001302.00,0001315.75,0001302.00,0001315.39,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
9.00% UNSECURED NCD           ,9MMFSML   ,N2,N,0001017.39,0001018.00,0001018.00,0001018.00,0001018.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
9.01% TAX FREETRII SR3B       ,901HUDCO34,NE,N,0001315.00,0001320.00,0001320.00,0001314.00,0001314.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
9.40 % SRNCD TR II SR III     ,94IFCI25  ,NL,N,0001029.00,0001034.29,0001034.29,0001034.29,0001034.29,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
9.90 % SRNCD SR VI            ,99IFCI24  ,NH,N,0001058.00,0001057.00,0001058.00,0001054.00,0001054.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
A B COTSPIN INDIA LIMITED     ,ABCOTS    ,SM,N,0000229.65,0000241.05,0000241.05,0000218.20,0000239.70,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
A B INFRABUILD LIMITED        ,ABINFRA   ,SM,N,0000052.15,0000054.00,0000057.35,0000054.00,0000056.80,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
A2Z INFRA ENGINEERING LTD     ,A2ZINFRA  ,BE,G,0000018.24,0000018.31,0000018.60,0000018.31,0000018.60,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AAA TECHNOLOGIES LIMITED      ,AAATECH   ,EQ,N,0000105.93,0000109.54,0000109.54,0000104.00,0000105.79,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AADHAR HOUSING FINANCE L      ,AADHARHFC ,EQ,N,0000460.05,0000459.45,0000480.05,0000453.05,0000461.85,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AAKASH EXPLORATION SER L      ,AAKASH    ,BE,N,0000013.15,0000013.24,0000013.80,0000013.00,0000013.80,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AAREY DRUGS & PHARM LTD       ,AAREYDRUGS,EQ,N,0000048.68,0000050.97,0000050.97,0000048.77,0000049.94,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARON INDUSTRIES LIMITED      ,AARON     ,EQ,N,0000261.45,0000261.45,0000264.90,0000260.00,0000262.65,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTECH SOLONICS LIMITED      ,AARTECH   ,BE,G,0000193.20,0000193.20,0000197.06,0000193.20,0000197.06,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTI DRUGS LTD.              ,AARTIDRUGS,EQ,N,0000527.60,0000525.95,0000536.25,0000525.05,0000530.35,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTI INDUSTRIES LTD          ,AARTIIND  ,EQ,N,0000686.90,0000685.55,0000696.65,0000682.85,0000691.25,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTI PHARMALABS LIMITED      ,AARTIPHARM,EQ,N,0000571.25,0000571.25,0000583.50,0000568.30,0000578.55,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTI SURFACTANTS LIMITED     ,AARTISURF ,EQ,N,0000647.05,0000651.60,0000656.55,0000628.00,0000640.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARTI SURFACTANTS LIMITED     ,AARTISURF ,P1,N,0000234.95,0000230.00,0000230.00,0000230.00,0000230.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARVEE DEN. & EXP. LTD        ,AARVEEDEN ,EQ,N,0000035.31,0000035.50,0000036.50,0000034.70,0000035.22,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AARVI ENCON LIMITED           ,AARVI     ,EQ,N,0000129.54,0000130.50,0000132.80,0000129.58,0000131.38,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AATMAJ HEALTHCARE LIMITED     ,AATMAJ    ,SM,N,0000026.75,0000026.80,0000026.80,0000026.75,0000026.75,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
AAVAS FINANCIERS LIMITED      ,AAVAS     ,EQ,N,0001777.20,0001795.90,0001803.55,0001749.95,0001759.25,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABAN OFFSHORE LTD.            ,ABAN      ,BE,N,0000062.42,0000062.50,0000065.54,0000061.50,0000065.54,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABANS HOLDINGS LIMITED        ,AHL       ,EQ,N,0000520.35,0000520.00,0000536.50,0000520.00,0000531.20,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABB INDIA LIMITED             ,ABB       ,EQ,N,0007503.05,0007549.95,0007637.95,0007435.00,0007522.60,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABBOTT INDIA LIMITED          ,ABBOTINDIA,EQ,N,0027728.80,0027800.00,0027890.90,0027554.00,0027701.10,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABHISHEK INTEGRATIONS LTD     ,AILIMITED ,ST,N,0000094.00,0000089.30,0000089.30,0000089.30,0000089.30,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABM INTERNATIONAL LTD         ,ABMINTLLTD,BE,N,0000058.40,0000058.40,0000058.55,0000055.50,0000058.55,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ABS MARINE SERVICES LTD       ,ABSMARINE ,SM,N,0000329.00,0000330.25,0000336.70,0000325.25,0000329.90,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACC LIMITED                   ,ACC       ,EQ,N,0002646.55,0002647.00,0002659.80,0002612.90,0002619.35,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACCELYA SOLN INDIA LTD        ,ACCELYA   ,EQ,N,0001830.85,0001820.10,0001899.95,0001804.80,0001878.30,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACCENT MICROCELL LIMITED      ,ACCENTMIC ,SM,N,0000286.90,0000286.90,0000291.00,0000284.60,0000290.60,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACCURACY SHIPPING LIMITED     ,ACCURACY  ,BE,N,0000012.32,0000012.32,0000012.43,0000011.75,0000011.90,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACE INTEGRATED SOLU. LTD.     ,ACEINTEG  ,EQ,N,0000032.62,0000032.60,0000033.41,0000032.01,0000032.17,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ACTION CONST EQUIP LTD        ,ACE       ,EQ,N,0001384.85,0001385.00,0001422.60,0001380.55,0001414.95,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ADANI ENERGY SOLUTION LTD     ,ADANIENSOL,EQ,N,0001023.80,0001025.90,0001047.00,0001022.00,0001036.20,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ADANI ENTERPRISES LIMITED     ,ADANIENT  ,EQ,N,0002995.35,0002995.35,0003007.50,0002959.30,0002970.70,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ADANI GREEN ENERGY LTD        ,ADANIGREEN,EQ,N,0001720.30,0001748.00,0001748.00,0001711.30,0001716.00,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
ADANI PORT & SEZ LTD          ,ADANIPORTS,EQ,N,0001507.35,0001508.00,0001513.55,0001480.00,0001484.80,    ,              ,                  ,0000000.00,0000000.00,24-JUL-2024,        
