Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03072024,1890026004,0002527
Trade Date <03-JUL-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,209,96IIFL28A,NF,1137,1136,99.91
20,210,96SFL24A,NB,38,38,100.00
20,211,970CAGL28,ND,179,179,100.00
20,212,971IHFL28,AN,70,70,100.00
20,213,975NFL25,N0,144,144,100.00
20,214,97MOFSL34,N7,40,30,75.00
20,215,97SFL26,Z9,83,83,100.00
20,216,97SFL28,YS,50,50,100.00
20,217,980IHFL33,NX,10,10,100.00
20,218,984ICCL26A,NK,20,20,100.00
20,219,98ICCL26,NU,50,50,100.00
20,220,98IHFL27,ZX,251,251,100.00
20,221,990IHFL26I,AV,5,5,100.00
20,222,990IHFL27,YT,10,10,100.00
20,223,99IFCI24,NH,1750,1750,100.00
20,224,9IBHFL26BA,NA,1832,1832,100.00
20,225,9IIFL28,Y0,50,50,100.00
20,226,9IIFL28A,NT,78,78,100.00
20,227,9MMFSML,N2,21,20,95.24
20,228,9PCHFL31A,NA,13,11,84.62
20,229,9PEL25,N0,2,2,100.00
20,230,9SFL25A,ZH,50,50,100.00
20,231,AADHARHFC,EQ,2692765,1198757,44.52
20,232,AAKASH,EQ,645137,645137,100.00
20,233,AARON,EQ,7460,4811,64.49
20,234,AARTIDRUGS,EQ,206923,88929,42.98
20,235,AARTIIND,EQ,829572,278198,33.54
20,236,AARTIPHARM,EQ,260473,148780,57.12
20,237,AARTISURF,EQ,14066,8808,62.62
20,238,AARVEEDEN,EQ,180791,76664,42.40
20,239,AARVI,EQ,39383,28254,71.74
20,240,AATMAJ,SM,20000,20000,100.00
20,241,AAVAS,EQ,297553,189283,63.61
20,242,ABB,EQ,235527,83052,35.26
20,243,ABBOTINDIA,EQ,5417,2146,39.62
20,244,ABCAPITAL,EQ,1895307,584515,30.84
20,245,ABCOTS,SM,2500,2000,80.00
20,246,ABDL,EQ,14342875,6723101,46.87
20,247,ABFRL,EQ,6216914,2931655,47.16
20,248,ABINFRA,SM,10000,10000,100.00
20,249,ABSLAMC,EQ,406883,265512,65.26
20,250,ABSLBANETF,EQ,76235,34860,45.73
20,251,ABSLLIQUID,EQ,2221,1153,51.91
20,252,ABSLNN50ET,EQ,17940,14520,80.94
20,253,ABSLPSE,EQ,511546,418175,81.75
20,254,ABSMARINE,SM,493000,193000,39.15
20,255,ACC,EQ,380778,116658,30.64
20,256,ACCELYA,EQ,12342,7446,60.33
20,257,ACCENTMIC,SM,61000,46500,76.23
20,258,ACE,EQ,2252951,503726,22.36
20,259,ACEINTEG,EQ,9522,5622,59.04
20,260,ACI,EQ,1238442,473612,38.24
20,261,ACL,EQ,89346,53012,59.33
20,262,ACLGATI,EQ,2805307,1505991,53.68
20,263,ACSAL,SM,33000,24000,72.73
20,264,ADANIENSOL,EQ,970351,370563,38.19
20,265,ADANIENT,EQ,1152522,588115,51.03
20,266,ADANIGREEN,EQ,549827,264067,48.03
20,267,ADANIPORTS,EQ,4435563,2305478,51.98
20,268,ADANIPOWER,EQ,1923993,893635,46.45
20,269,ADFFOODS,EQ,136768,68310,49.95
20,270,ADL,EQ,5957,3099,52.02
20,271,ADORWELD,EQ,11165,5407,48.43
20,272,ADROITINFO,EQ,40557,28149,69.41
20,273,ADSL,EQ,3400432,1052396,30.95
20,274,ADVANIHOTR,EQ,214807,128772,59.95
20,275,ADVENZYMES,EQ,134225,72855,54.28
20,276,AEGISLOG,EQ,314124,109082,34.73
20,277,AEROFLEX,EQ,614602,271751,44.22
20,278,AETHER,EQ,71038,34586,48.69
20,279,AFFLE,EQ,371018,204447,55.10
20,280,AGARIND,EQ,251630,83703,33.26
20,281,AGARWALFT,ST,24000,24000,100.00
20,282,AGI,EQ,232955,107839,46.29
20,283,AGNI,SM,92500,60000,64.86
20,284,AGRITECH,EQ,4065,2693,66.25
20,285,AGROPHOS,EQ,122585,56529,46.11
20,286,AGSTRA,EQ,485571,287202,59.15
20,287,AHL,EQ,105261,40107,38.10
20,288,AHLEAST,EQ,13700,8357,61.00
20,289,AHLUCONT,EQ,65693,28399,43.23
20,290,AIAENG,EQ,28656,14660,51.16
20,291,AIIL,EQ,34733,14959,43.07
20,292,AILIMITED,ST,18000,18000,100.00
20,293,AIMTRON,SM,48800,48800,100.00
20,294,AIRAN,EQ,299247,181856,60.77
20,295,AIROLAM,EQ,4564,3393,74.34
20,296,AIRTELPP,E1,112541,75070,66.70
20,297,AISL,ST,3600,2400,66.67
20,298,AJANTPHARM,EQ,61749,36258,58.72
20,299,AJMERA,EQ,72356,35954,49.69
20,300,AJOONI,EQ,25590593,12359304,48.30
20,301,AKANKSHA,SM,798000,408000,51.13
20,302,AKASH,EQ,25551,19981,78.20
20,303,AKG,EQ,38750,28685,74.03
20,304,AKI,EQ,86111,61372,71.27
20,305,AKIKO,ST,257600,227200,88.20
20,306,AKSHARCHEM,EQ,15988,6367,39.82
20,307,AKZOINDIA,EQ,5341,3481,65.18
20,308,ALANKIT,EQ,3703037,1370234,37.00
20,309,ALBERTDAVD,EQ,8945,4929,55.10
20,310,ALEMBICLTD,EQ,1517246,757860,49.95
20,311,ALICON,EQ,24932,9844,39.48
20,312,ALKALI,EQ,60619,28112,46.37
20,313,ALKEM,EQ,119669,56107,46.89
20,314,ALKYLAMINE,EQ,45602,22582,49.52
20,315,ALLCARGO,EQ,1788181,928959,51.95
20,316,ALLETEC,SM,96000,58800,61.25
20,317,ALLSEC,EQ,50445,28839,57.17
20,318,ALMONDZ,EQ,148874,76586,51.44
20,319,ALOKINDS,EQ,10462596,4148431,39.65
20,320,ALPA,EQ,26486,15876,59.94
20,321,ALPEXSOLAR,SM,335200,157600,47.02
20,322,ALPHA,EQ,507396,327033,64.45
20,323,ALPHAETF,EQ,326311,296236,90.78
20,324,ALPHAGEO,EQ,23304,8601,36.91
20,325,ALPL30IETF,EQ,3948069,3869620,98.01
20,326,ALUWIND,SM,168000,138000,82.14
20,327,AMBANIORG,SM,17000,11000,64.71
20,328,AMBER,EQ,193963,48304,24.90
20,329,AMBICAAGAR,EQ,28617,10547,36.86
20,330,AMBIKCO,EQ,12869,7764,60.33
20,331,AMBUJACEM,EQ,1357858,533239,39.27
20,332,AMDIND,EQ,230726,60759,26.33
20,333,AMEYA,SM,84000,34000,40.48
20,334,AMIABLE,SM,1600,1600,100.00
20,335,AMIORG,EQ,559996,275583,49.21
20,336,AMJLAND,EQ,76117,41279,54.23
20,337,AMNPLST,EQ,76725,41817,54.50
20,338,AMRUTANJAN,EQ,27683,16020,57.87
20,339,ANANDRATHI,EQ,22358,16291,72.86
20,340,ANANTRAJ,EQ,1613782,620805,38.47
20,341,ANDHRAPAP,EQ,352739,193457,54.84
20,342,ANDHRSUGAR,EQ,577710,247292,42.81
20,343,ANGELONE,EQ,1811017,645022,35.62
20,344,ANIKINDS,EQ,50520,25858,51.18
20,345,ANLON,SM,20800,17600,84.62
20,346,ANNAPURNA,SM,52500,42000,80.00
20,347,ANTGRAPHIC,EQ,1935039,953875,49.29
20,348,ANUP,EQ,17754,9339,52.60
20,349,ANURAS,EQ,42385,20230,47.73
20,350,ANZEN,IV,600000,600000,100.00
20,351,APARINDS,EQ,91119,45717,50.17
20,352,APCL,EQ,29341,16515,56.29
20,353,APCOTEXIND,EQ,42265,21336,50.48
20,354,APEX,EQ,87161,38177,43.80
20,355,APLAPOLLO,EQ,1155464,962760,83.32
20,356,APLLTD,EQ,246094,91749,37.28
20,357,APOLLO,EQ,2299485,1328842,57.79
20,358,APOLLOHOSP,EQ,188203,68564,36.43
20,359,APOLLOPIPE,EQ,48459,29049,59.95
20,360,APOLLOTYRE,EQ,2004346,868533,43.33
20,361,APOLSINHOT,EQ,2816,1869,66.37
20,362,APS,SM,45500,39500,86.81
20,363,APTECHT,EQ,431917,242142,56.06
20,364,APTUS,EQ,296608,153499,51.75
20,365,ARABIAN,SM,28000,20000,71.43
20,366,ARCHIES,EQ,119318,75010,62.87
20,367,ARE&M,EQ,1230196,508447,41.33
20,368,ARENTERP,EQ,5326,2836,53.25
20,369,ARHAM,ST,71000,65000,91.55
20,370,ARIES,EQ,756364,222393,29.40
20,371,ARIHANTACA,SM,4000,4000,100.00
20,372,ARIHANTCAP,EQ,505663,281805,55.73
20,373,ARIHANTSUP,EQ,107960,65175,60.37
20,374,ARISTO,SM,8000,6400,80.00
20,375,ARMANFIN,EQ,27478,16475,59.96
20,376,AROGRANITE,EQ,59096,40735,68.93
20,377,ARROWGREEN,EQ,215104,87256,40.56
20,378,ARTEMISMED,EQ,102407,60596,59.17
20,379,ARTNIRMAN,EQ,22748,4507,19.81
20,380,ARVIND,EQ,656375,297469,45.32
20,381,ARVINDFASN,EQ,670971,372339,55.49
20,382,ARVSMART,EQ,116937,66745,57.08
20,383,ASAHIINDIA,EQ,287364,172834,60.14
20,384,ASAHISONG,EQ,43059,14695,34.13
20,385,ASAL,EQ,265685,70572,26.56
20,386,ASALCBR,EQ,98900,50855,51.42
20,387,ASHAPURMIN,EQ,296919,161551,54.41
20,388,ASHIANA,EQ,119573,61542,51.47
20,389,ASHIMASYN,EQ,3336315,1881943,56.41
20,390,ASHOKA,EQ,1787944,476023,26.62
20,391,ASHOKAMET,EQ,136361,83567,61.28
20,392,ASHOKLEY,EQ,17206470,6458559,37.54
20,393,ASIANENE,EQ,150289,99818,66.42
20,394,ASIANPAINT,EQ,925189,507846,54.89
20,395,ASIANTILES,EQ,1368480,621703,45.43
20,396,ASKAUTOLTD,EQ,866712,596873,68.87
20,397,ASMS,EQ,29605,29605,100.00
20,398,ASPINWALL,EQ,3587,2353,65.60
20,399,ASPIRE,SM,156000,106000,67.95
20,400,ASTEC,EQ,121960,58834,48.24
20,401,ASTERDM,EQ,643194,404038,62.82
20,402,ASTRAL,EQ,310243,112027,36.11
20,403,ASTRAMICRO,EQ,1070217,626287,58.52
20,404,ASTRAZEN,EQ,15550,7381,47.47
20,405,ATFL,EQ,116186,68251,58.74
20,406,ATGL,EQ,1034594,378944,36.63
20,407,ATL,EQ,1524577,799321,52.43
20,408,ATMASTCO,SM,172800,110400,63.89
20,409,ATUL,EQ,29641,13385,45.16
20,410,ATULAUTO,EQ,557134,210101,37.71
20,411,AUBANK,EQ,3891265,1015649,26.10
20,412,AURDIS,SM,42500,33500,78.82
20,413,AURIONPRO,EQ,34136,26646,78.06
20,414,AUROIMPEX,SM,65600,62400,95.12
20,415,AUROPHARMA,EQ,1232716,599721,48.65
20,416,AURUM,EQ,359141,187153,52.11
20,417,AURUMPP1,E1,53431,44827,83.90
20,418,AUTOAXLES,EQ,28537,17071,59.82
20,419,AUTOBEES,EQ,186676,143006,76.61
20,420,AUTOIETF,EQ,735905,504882,68.61
20,421,AUTOIND,EQ,336027,168072,50.02
20,422,AVADHSUGAR,EQ,155870,58602,37.60
20,423,AVALON,EQ,74627,40815,54.69
20,424,AVANTIFEED,EQ,316404,126836,40.09
20,425,AVG,EQ,30798,19187,62.30
20,426,AVPINFRA,SM,489600,275200,56.21
20,427,AVROIND,EQ,39032,25046,64.17
20,428,AVTNPL,EQ,176865,91271,51.60
20,429,AWFIS,EQ,237784,117423,49.38
20,430,AWHCL,EQ,195372,94533,48.39
20,431,AWL,EQ,828736,432029,52.13
20,432,AXISBANK,EQ,15171347,7328367,48.30
20,433,AXISBNKETF,EQ,34927,23682,67.80
20,434,AXISBPSETF,EQ,73584,57232,77.78
20,435,AXISCADES,EQ,208255,87906,42.21
20,436,AXISCETF,EQ,3081,2027,65.79
20,437,AXISGOLD,EQ,106219,71555,67.37
20,438,AXISHCETF,EQ,23850,21764,91.25
20,439,AXISILVER,EQ,15264,11790,77.24
20,440,AXISNIFTY,EQ,7013,5077,72.39
20,441,AXISTECETF,EQ,6045,5313,87.89
20,442,AXITA,EQ,648342,352973,54.44
20,443,AXSENSEX,EQ,4936,4742,96.07
20,444,AYMSYNTEX,EQ,294294,110287,37.48
20,445,AZAD,EQ,118012,66260,56.15
20,446,BABAFP,SM,24000,17600,73.33
20,447,BAHETI,SM,9000,7500,83.33
20,448,BAIDFIN,EQ,2059330,483506,23.48
20,449,BAJAJ-AUTO,EQ,318120,182842,57.48
20,450,BAJAJCON,EQ,250974,140822,56.11
20,451,BAJAJELEC,EQ,74168,39594,53.38
20,452,BAJAJFINSV,EQ,892102,474233,53.16
20,453,BAJAJHCARE,EQ,278263,139338,50.07
20,454,BAJAJHIND,EQ,19720859,6855540,34.76
20,455,BAJAJHLDNG,EQ,131187,51798,39.48
20,456,BAJEL,EQ,564276,237010,42.00
