ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF109KC15E7,IPRU9690,DR,OMF,9,14.14
INF769K01IO4,MIRAEBAD2,DR,OMF,9,13.86
INF769K01IL0,MIRAEBARD,DR,OMF,9,13.47
INF090I01WP7,FIBAFDP,DR,OMF,9,13.77
INF090I01WS1,FIBAFDPD,DR,OMF,9,14.25
INF109KC11I7,IPRU3490,DR,OMF,9.34,22.03
INF109KC14I1,IPRU9692,DR,OMF,9.4,22.68
INF03VN01613,WOCMPD101D,DR,OMF,9,18.52
INF03VN01589,WOCMP101D,DR,OMF,9,17.92
INF174KA1JM8,KBCFDR,DR,OMF,9,15.33
INF767K01RJ9,MKDPR,DR,OMF,9,16.99
INF754K01PH5,EMFG7DDR,DR,OMF,9,11.93
INF200KA19O9,SNMIF661D,DR,OMF,9,18.34
INF200KA12P1,SNMIFD661D,DR,OMF,9,18.54
INF200KA18P8,SNMIFD662D,DR,OMF,9,19.25
INF200KA15P4,SNMIF662D,DR,OMF,9,19.04
INF109KC11K3,IPRU3504,DR,OMF,9,18.99
INF109KC14K7,IPRU9706,DR,OMF,9,19.47
INF204K01IK0,RELNIFHFDR,DR,OMF,9,32.66
INF03VN01688,WOCLP103D,DR,OMF,9,14.17
INF179KC1EA7,HHBDDRHMF,DR,OMF,9,15.06
INF179KC1ED1,HHBRDRHMF,DR,OMF,9,14.71
INF192K01MU8,MDDP,DR,OMF,9,19.77
INF760K01KJ9,CRMDDD,DR,OMF,9,17.34
INF760K01KM3,CRMDDP,DR,OMF,9,16.89
INF582M01IU4,UNMCRDR,DR,OMF,9,15.71
INF251K01RE5,MARDR,DR,OMF,9,14.16
INF194KB1ES1,IDG32RR,DR,OMF,9,10.53
INF174V01BJ9,MMMSCRD,DR,OMF,9,20.35
INF174V01BM3,MMMSCDD,DR,OMF,9,20.96
INF917K01AG2,LNT01,DR,OMF,9,11.03
INF917K01AJ6,LNT09,DR,OMF,9,17.07
INF917K01HO1,LNT01D,DR,OMF,9,11.41
INF917K01247,LNT16,DR,OMF,9,85.98
INF917K01FX6,LNT16D,DR,OMF,9,96.37
INF917K01551,LNT415,DR,OMF,9.33,42.51
INF917K01FU2,LNT415D,DR,OMF,9.27,47.18
INF917K01122,LNT227,DR,OMF,9,10.25
INF917K01973,LTOPMIPMDR,DR,OMF,9,15.85
INF917K01999,LTOPMIPQDR,DR,OMF,9,16.91
INF917K01CI4,LTOPSTDDR,DR,OMF,9,11.11
INF917K01CK0,LTOPSTDQDR,DR,OMF,9,10.59
INF677K01932,STIID,DR,OMF,9,10.77
INF917K01HI3,LNTLFMDD,DR,OMF,9,11.26
INF677K01015,FIVFD,DR,OMF,9,56.32
INF917K01HB8,LNTFIVDD,DR,OMF,9,69.23
INF677K01478,FSID,DR,OMF,9,10.39
INF917K01LA2,FCPED,DR,OMF,9,30.62
INF917K01LD6,LNTFCEDD,DR,OMF,9,35.92
