Symbol,Security,From Series,To Series,Change Date,Remarks
CADSYS,CADSYS (INDIA) LIMITED,ST,SM,16-JUL-2024,"-"
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED,BE,EQ,16-JUL-2024,"-"
CANARYS,CANARYS AUTOMATIONS LIMITED,SM,ST,16-JUL-2024,"-"
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,BE,EQ,16-JUL-2024,"-"
CINEVISTA,CINEVISTA LIMITED,BE,EQ,16-JUL-2024,"-"
CLOUD,VARANIUM CLOUD LIMITED,SM,ST,16-JUL-2024,"-"
CPS,C P S SHAPERS LIMITED,ST,SM,16-JUL-2024,"-"
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,EQ,BE,16-JUL-2024,"-"
DCG,DCG CABLES & WIRES LIMITED,SM,ST,16-JUL-2024,"-"
DCI,DC INFOTECH AND COMMUNICATION LIMITED,BE,EQ,16-JUL-2024,"-"
DCMFINSERV,DCM FINANCIAL SERVICES LIMITED,BE,EQ,16-JUL-2024,"GSM STAGE - 0"
DCMNVL,DCM NOUVELLE LIMITED,EQ,BE,16-JUL-2024,"-"
DCXINDIA,DCX SYSTEMS LIMITED,EQ,BE,16-JUL-2024,"-"
DESTINY,DESTINY LOGISTICS & INFRA LIMITED,ST,SM,16-JUL-2024,"-"
DIGIKORE,DIGIKORE STUDIOS LIMITED,SM,ST,16-JUL-2024,"-"
DIGISPICE,DIGISPICE TECHNOLOGIES LIMITED,EQ,BE,16-JUL-2024,"-"
DPEL,DIVINE POWER ENERGY LIMITED,ST,SM,16-JUL-2024,"-"
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED,EQ,BE,16-JUL-2024,"-"
DRONE,DRONE DESTINATION LIMITED,SM,ST,16-JUL-2024,"-"
DUCOL,DUCOL ORGANICS AND COLOURS LIMITED,SM,ST,16-JUL-2024,"-"
DYNPRO,DYNEMIC PRODUCTS LIMITED,EQ,BE,16-JUL-2024,"-"
E2E,E2E NETWORKS LIMITED,BE,EQ,16-JUL-2024,"-"
ENFUSE,ENFUSE SOLUTIONS LIMITED,SM,ST,16-JUL-2024,"-"
ESCONET,ESCONET TECHNOLOGIES LIMITED,SM,ST,16-JUL-2024,"-"
ESSARSHPNG,ESSAR SHIPPING LIMITED,EQ,BE,16-JUL-2024,"-"
EXICOM,EXICOM TELE-SYSTEMS LIMITED,EQ,BE,16-JUL-2024,"-"
FLEXITUFF,FLEXITUFF VENTURES INTERNATIONAL LIMITED,BE,EQ,16-JUL-2024,"-"
GEPIL,GE POWER INDIA LIMITED,EQ,BE,16-JUL-2024,"-"
GIRIRAJ,GIRIRAJ CIVIL DEVELOPERS LIMITED,ST,SM,16-JUL-2024,"-"
GKWLIMITED,GKW LIMITED,BE,EQ,16-JUL-2024,"-"
HCL-INSYS,HCL INFOSYSTEMS LIMITED,BE,EQ,16-JUL-2024,"GSM STAGE - 0"
HLVLTD,HLV LIMITED,BE,EQ,16-JUL-2024,"-"
HOMESFY,HOMESFY REALTY LIMITED,ST,SM,16-JUL-2024,"-"
HOVS,HOV SERVICES LIMITED,BE,EQ,16-JUL-2024,"-"
IFBAGRO,IFB AGRO INDUSTRIES LIMITED,EQ,BE,16-JUL-2024,"-"
INDOWIND,INDOWIND ENERGY LIMITED,EQ,BE,16-JUL-2024,"-"
INFOLLION,INFOLLION RESEARCH SERVICES LIMITED,SM,ST,16-JUL-2024,"-"
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED,BE,EQ,16-JUL-2024,"-"
JETKNIT,JET KNITWEARS LIMITED,SM,ST,16-JUL-2024,"-"
JFLLIFE,JFL LIFE SCIENCES LIMITED,SM,ST,16-JUL-2024,"-"
JNKINDIA,JNK INDIA LIMITED,EQ,BE,16-JUL-2024,"-"
JSLL,JEENA SIKHO LIFECARE LIMITED,ST,SM,16-JUL-2024,"-"
K2INFRA,K2 INFRAGEN LIMITED,SM,ST,16-JUL-2024,"-"
KAYA,KAYA LIMITED,EQ,BE,16-JUL-2024,"-"
KBCGLOBAL,KBC GLOBAL LIMITED,EQ,BE,16-JUL-2024,"-"
KCEIL,KAY CEE ENERGY & INFRA LIMITED,SM,ST,16-JUL-2024,"-"
KCK,KCK INDUSTRIES LIMITED,ST,SM,16-JUL-2024,"-"
KDL,KORE DIGITAL LIMITED,SM,ST,16-JUL-2024,"-"
KICL,KALYANI INVESTMENT COMPANY LIMITED,EQ,BE,16-JUL-2024,"-"
KNAGRI,KN AGRI RESOURCES LIMITED,SM,ST,16-JUL-2024,"-"
KORE,JAY JALARAM TECHNOLOGIES LIMITED,SM,ST,16-JUL-2024,"-"
KRISHCA,KRISHCA STRAPPING SOLUTIONS LIMITED,SM,ST,16-JUL-2024,"-"
KRISHNADEF,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED,SM,ST,16-JUL-2024,"-"
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,BE,EQ,16-JUL-2024,"-"
LGHL,LAXMI GOLDORNA HOUSE LIMITED,BE,EQ,16-JUL-2024,"-"
LOKESHMACH,LOKESH MACHINES LIMITED,BE,EQ,16-JUL-2024,"-"
MAKS,MAKS ENERGY SOLUTIONS INDIA LIMITED,SM,ST,16-JUL-2024,"-"
MANDEEP,MANDEEP AUTO INDUSTRIES LIMITED,SM,ST,16-JUL-2024,"-"
MANORAMA,MANORAMA INDUSTRIES LIMITED,BE,EQ,16-JUL-2024,"-"
MANORG,MANGALAM ORGANICS LIMITED,BE,EQ,16-JUL-2024,"-"
MARINE,MARINE ELECTRICALS (INDIA) LIMITED,EQ,BE,16-JUL-2024,"-"
MASTER,MASTER COMPONENTS LIMITED,SM,ST,16-JUL-2024,"-"
MBECL,MCNALLY BHARAT ENGINEERING COMPANY LIMITED,BE,EQ,16-JUL-2024,"GSM STAGE - 0"
MBLINFRA,MBL INFRASTRUCTURE LIMITED,EQ,BE,16-JUL-2024,"-"
MCON,MCON RASAYAN INDIA LIMITED,SM,ST,16-JUL-2024,"-"
MEGATHERM,MEGATHERM INDUCTION LIMITED,SM,ST,16-JUL-2024,"-"
MODIRUBBER,MODI RUBBER LIMITED,BE,EQ,16-JUL-2024,"-"
MODISONLTD,MODISON LIMITED,BE,EQ,16-JUL-2024,"-"
MOXSH,MOXSH OVERSEAS EDUCON LIMITED,SM,ST,16-JUL-2024,"-"
NATHBIOGEN,NATH BIO-GENES (INDIA) LIMITED,EQ,BE,16-JUL-2024,"-"
NBIFIN,N. B. I. INDUSTRIAL FINANCE COMPANY LIMITED,EQ,BE,16-JUL-2024,"-"
NIRAJISPAT,NIRAJ ISPAT INDUSTRIES LIMITED,BE,EQ,16-JUL-2024,"-"
NIRMAN,NIRMAN AGRI GENETICS LIMITED,SM,ST,16-JUL-2024,"-"
OLIL,ONECLICK LOGISTICS INDIA LIMITED,SM,ST,16-JUL-2024,"-"
OMAXE,OMAXE LIMITED,EQ,BE,16-JUL-2024,"-"
PARACABLES,PARAMOUNT COMMUNICATIONS LIMITED,BE,EQ,16-JUL-2024,"-"
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,EQ,BE,16-JUL-2024,"-"
PATTECH,PATTECH FITWELL TUBE COMPONENTS LIMITED,ST,SM,16-JUL-2024,"-"
PCCL,PETRO CARBON AND CHEMICALS LIMITED,ST,SM,16-JUL-2024,"-"
PFOCUS,PRIME FOCUS LIMITED,EQ,BE,16-JUL-2024,"-"
PRECOT,PRECOT LIMITED,EQ,BE,16-JUL-2024,"-"
PTCIL,PTC INDUSTRIES LIMITED,EQ,BE,16-JUL-2024,"-"
RAMCOSYS,RAMCO SYSTEMS LIMITED,BE,EQ,16-JUL-2024,"-"
REFRACTORY,REFRACTORY SHAPES LIMITED,SM,ST,16-JUL-2024,"-"
RILINFRA,RACHANA INFRASTRUCTURE LIMITED,SM,ST,16-JUL-2024,"-"
RULKA,RULKA ELECTRICALS LIMITED,SM,ST,16-JUL-2024,"-"
SAAKSHI,SAAKSHI MEDTECH AND PANELS LIMITED,SM,ST,16-JUL-2024,"-"
SADBHAV,SADBHAV ENGINEERING LIMITED,BE,EQ,16-JUL-2024,"-"
SECMARK,SECMARK CONSULTANCY LIMITED,BE,EQ,16-JUL-2024,"-"
SHEETAL,SHEETAL UNIVERSAL LIMITED,ST,SM,16-JUL-2024,"-"
SHREEKARNI,SHREE KARNI FABCOM LIMITED,SM,ST,16-JUL-2024,"-"
SIMPLEXINF,SIMPLEX INFRASTRUCTURES LIMITED,BE,EQ,16-JUL-2024,"-"
SLONE,SLONE INFOSYSTEMS LIMITED,SM,ST,16-JUL-2024,"-"
SMVD,SMVD POLY PACK LIMITED,ST,SM,16-JUL-2024,"-"
SOLARA,SOLARA ACTIVE PHARMA SCIENCES LIMITED,EQ,BE,16-JUL-2024,"-"
SOLARAPP,SOLARA ACTIVE PHARMA SCIENCES LIMITED,E1,X1,16-JUL-2024,"-"
SONUINFRA,SONU INFRATECH LIMITED,SM,ST,16-JUL-2024,"-"
SOTAC,SOTAC PHARMACEUTICALS LIMITED,SM,ST,16-JUL-2024,"-"
STARTECK,STARTECK FINANCE LIMITED,EQ,BE,16-JUL-2024,"-"
SUNDARAM,SUNDARAM MULTI PAP LIMITED,EQ,BE,16-JUL-2024,"-"
SUPREMEPWR,SUPREME POWER EQUIPMENT LIMITED,SM,ST,16-JUL-2024,"-"
SURAJEST,SURAJ ESTATE DEVELOPERS LIMITED,EQ,BE,16-JUL-2024,"-"
SURANASOL,SURANA SOLAR LIMITED,BE,EQ,16-JUL-2024,"-"
TARACHAND,TARA CHAND INFRALOGISTIC SOLUTIONS LIMITED,BE,EQ,16-JUL-2024,"-"
TARC,TARC LIMITED,EQ,BE,16-JUL-2024,"-"
TBI,TBI CORN LIMITED,SM,ST,16-JUL-2024,"-"
TCLCONS,TANTIA CONSTRUCTIONS LIMITED,EQ,BE,16-JUL-2024,"-"
TECHLABS,TRIDENT TECHLABS LIMITED,SM,ST,16-JUL-2024,"-"
TGL,TEERTH GOPICON LIMITED,SM,ST,16-JUL-2024,"-"
THEINVEST,THE INVESTMENT TRUST OF INDIA LIMITED,EQ,BE,16-JUL-2024,"-"
TPHQ,TEAMO PRODUCTIONS HQ LIMITED,EQ,BE,16-JUL-2024,"-"
TRUST,TRUST FINTECH LIMITED,SM,ST,16-JUL-2024,"-"
URAVI,URAVI T AND WEDGE LAMPS LIMITED,BE,EQ,16-JUL-2024,"-"
VASA,VASA RETAIL AND OVERSEAS LTD,SM,ST,16-JUL-2024,"-"
VERANDA,VERANDA LEARNING SOLUTIONS LIMITED,EQ,BE,16-JUL-2024,"-"
VILAS,VILAS TRANSCORE LIMITED,SM,ST,16-JUL-2024,"-"
VINYAS,VINYAS INNOVATIVE TECHNOLOGIES LIMITED,SM,ST,16-JUL-2024,"-"
VITAL,VITAL CHEMTECH LIMITED,SM,ST,16-JUL-2024,"-"
VIVIANA,VIVIANA POWER TECH LIMITED,SM,ST,16-JUL-2024,"-"
VLEGOV,VL E GOVERNANCE & IT SOLUTIONS LIMITED,BE,EQ,16-JUL-2024,"-"
VSCL,VADIVARHE SPECIALITY CHEMICALS LIMITED,ST,SM,16-JUL-2024,"-"
WEL,WONDER ELECTRICALS LIMITED,BE,EQ,16-JUL-2024,"-"
WOCKPHARMA,WOCKHARDT LIMITED,EQ,BE,16-JUL-2024,"-"
WOMANCART,WOMANCART LIMITED,SM,ST,16-JUL-2024,"-"
XELPMOC,XELPMOC DESIGN AND TECH LIMITED,BE,EQ,16-JUL-2024,"-"
YAARI,YAARI DIGITAL INTEGRATED SERVICES LIMITED,BE,EQ,16-JUL-2024,"GSM STAGE - 0"
