Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082024,1865492645,0002491
Trade Date <28-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2205,SURANASOL,EQ,208754,127890,61.26
20,2206,SURANI,SM,1400,1400,100.00
20,2207,SURYALAXMI,EQ,50287,32724,65.07
20,2208,SURYAROSNI,EQ,221822,120351,54.26
20,2209,SURYODAY,EQ,317396,189852,59.82
20,2210,SUTLEJTEX,EQ,530807,196706,37.06
20,2211,SUVEN,EQ,415210,243913,58.74
20,2212,SUVENPHAR,EQ,136621,84040,61.51
20,2213,SUVIDHAA,EQ,720556,388624,53.93
20,2214,SUYOG,EQ,31378,19802,63.11
20,2215,SUZLON,EQ,47724768,26143717,54.78
20,2216,SVLL,EQ,5396,2982,55.26
20,2217,SVPGLOB,EQ,130406,101087,77.52
20,2218,SWANENERGY,EQ,1228760,665381,54.15
20,2219,SWARAJ,SM,15000,14000,93.33
20,2220,SWARAJENG,EQ,19578,8331,42.55
20,2221,SWASTIK,SM,46800,38400,82.05
20,2222,SWELECTES,EQ,26701,14580,54.60
20,2223,SWSOLAR,EQ,573118,361864,63.14
20,2224,SYLVANPLY,SM,20000,18000,90.00
20,2225,SYMPHONY,EQ,188991,102862,54.43
20,2226,SYNCOMF,EQ,22651382,8867151,39.15
20,2227,SYNGENE,EQ,521949,213446,40.89
20,2228,SYNOPTICS,SM,9000,7200,80.00
20,2229,SYRMA,EQ,240402,111705,46.47
20,2230,SYSTANGO,SM,22400,18000,80.36
20,2231,TAC,SM,229200,154800,67.54
20,2232,TAJGVK,EQ,81614,44433,54.44
20,2233,TAKE,EQ,92659,51796,55.90
20,2234,TALBROAUTO,EQ,163246,68217,41.79
20,2235,TANLA,EQ,2140156,503960,23.55
20,2236,TAPIFRUIT,SM,3750,3000,80.00
20,2237,TARACHAND,EQ,18438,12066,65.44
20,2238,TARSONS,EQ,35419,17739,50.08
20,2239,TASTYBITE,EQ,6567,2910,44.31
20,2240,TATACHEM,EQ,1009628,255098,25.27
20,2241,TATACOMM,EQ,508814,277413,54.52
20,2242,TATACONSUM,EQ,779730,461301,59.16
20,2243,TATAELXSI,EQ,2848938,441872,15.51
20,2244,TATAGOLD,EQ,2609839,1943811,74.48
20,2245,TATAINVEST,EQ,1461581,219723,15.03
20,2246,TATAMOTORS,EQ,8145376,4380617,53.78
20,2247,TATAMTRDVR,EQ,7234819,6172198,85.31
20,2248,TATAPOWER,EQ,18213329,10067706,55.28
20,2249,TATASTEEL,EQ,25195197,11621415,46.13
20,2250,TATATECH,EQ,11550853,4524462,39.17
20,2251,TATSILV,EQ,685707,577122,84.16
20,2252,TATVA,EQ,48273,27119,56.18
20,2253,TBI,ST,39600,36000,90.91
20,2254,TBOTEK,EQ,32947,16129,48.95
20,2255,TBZ,EQ,2284728,465546,20.38
20,2256,TCHF30,NB,330,330,100.00
20,2257,TCI,EQ,38993,21150,54.24
20,2258,TCIEXP,EQ,40469,18534,45.80
20,2259,TCL,SM,100800,80800,80.16
20,2260,TCNSBRANDS,EQ,8253964,5285189,64.03
20,2261,TCPLPACK,EQ,9717,6367,65.52
20,2262,TCS,EQ,1848058,1110045,60.07
20,2263,TDPOWERSYS,EQ,405721,226177,55.75
20,2264,TEAMLEASE,EQ,119790,110889,92.57
20,2265,TECH,EQ,76325,64255,84.19
20,2266,TECHLABS,ST,12500,12500,100.00
