21ST CENTURY MGMT SERVICE     ,21STCENMGM,BE,G,0000113.76,0000116.03,0000116.03,0000116.03,0000116.03,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000116.03
360 ONE WAM LIMITED           ,360ONE    ,EQ,N,0001100.25,0001109.50,0001134.90,0001094.10,0001097.45,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001098.00
3I INFOTECH LIMITED           ,3IINFOLTD ,EQ,N,0000035.06,0000035.25,0000038.17,0000035.16,0000036.29,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000036.30
3M INDIA LIMITED              ,3MINDIA   ,EQ,N,0035870.40,0035950.00,0036150.00,0035290.00,0035368.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0035371.00
3P LAND HOLDINGS LIMITED      ,3PLAND    ,BE,N,0000045.73,0000045.40,0000046.40,0000043.70,0000044.36,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000045.00
5PAISA CAPITAL LIMITED        ,5PAISA    ,EQ,N,0000528.70,0000533.65,0000546.10,0000516.10,0000520.05,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000521.00
63 MOONS TECHNOLOGIES LTD     ,63MOONS   ,EQ,N,0000336.60,0000337.50,0000339.80,0000333.10,0000335.90,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000336.05
7.34 NCD 19FEB28 TR1 SR2      ,734IRFC28 ,N4,N,0001105.60,0001102.42,0001102.42,0001100.01,0001100.01,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001100.01
7.36% TAX FREE NCD            ,736PFCL28 ,N2,N,0001109.90,0001110.00,0001110.00,0001110.00,0001110.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001110.00
7.43% TAX FREE TRI SR3B       ,743REC35  ,NH,N,0001198.05,0001198.05,0001198.05,0001198.05,0001198.05,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001198.05
7.64% TAX FREE TRI SRIIB      ,764NABAR31,N2,N,0001135.40,0001137.00,0001137.00,0001135.45,0001136.84,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001135.45
7.64% TAX FREETRI SR2B        ,764HUDCO31,N8,N,0001142.00,0001142.00,0001142.00,0001141.00,0001141.01,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001141.01
7.69% TAX FREETRII SR2B       ,769HUDCO31,N9,N,0001161.00,0001159.00,0001159.00,0001159.00,0001159.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001159.00
7.74% TAX FREE NCD            ,774IREDA31,N7,N,0001138.09,0001139.10,0001139.10,0001139.10,0001139.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001139.10
8.12/8.32% TAX FREE NCD       ,812REC27  ,NI,N,0001060.01,0001068.00,0001068.00,0001068.00,0001068.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001068.00
8.20 NCD05MAR27 FV 1000       ,82HUDCO27 ,N2,N,0001099.19,0001099.19,0001100.00,0001099.19,0001099.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001099.99
8.30% TAX FREE NCD            ,830PFCL27 ,N5,N,0001136.00,0001130.30,0001138.00,0001130.30,0001138.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001138.00
8.49% SEC NON-CUM RED NCD     ,849NTPC25 ,N7,N,0000005.18,0000005.18,0000005.19,0000005.15,0000005.18,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000005.17
