MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NH,743REC35,7.43% TAX FREE TRI SR3B,      1198.05,      1198.05,      1198.05,      1198.05,      1198.05,                    59902.50,50, ,1,      1250.00,      1170.10
N,NH,99IFCI24,9.90 % SRNCD SR VI,      1060.13,      1060.50,      1060.50,      1060.00,      1060.00,                   743184.65,701, ,18,      1099.00,       927.00
N,NI,732IRFC25,TAX FREE  7.32% SR. 102 A,      1076.60,      1063.21,      1063.21,      1063.21,      1063.21,                    34022.72,32, ,1,      1109.99,      1010.00
N,NI,812REC27,8.12/8.32% TAX FREE NCD,      1060.01,      1068.00,      1068.00,      1068.00,      1068.00,                    55536.00,52, ,2,      1160.00,      1052.50
N,NI,IFCIZC24,SRNCD SR VII,      2460.00,      2471.99,      2471.99,      2467.00,      2469.72,                   271669.40,110, ,6,      2490.00,      2244.44
N,NJ,1030ICC26,SEC RE NCD SR.V,      1110.00,      1110.00,      1110.00,      1110.00,      1110.00,                   111000.00,100, ,3,      1110.00,       920.10
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1151.01,      1163.95,      1163.95,      1163.95,      1163.95,                     4655.80,4, ,1,      1197.49,      1100.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1015.89,      1016.11,      1021.75,      1016.11,      1018.51,                  2825826.62,2767, ,19,      1076.00,       994.00
N,NJ,85IIFL24,SEC RE NCD 8.50% SR.III,      1059.20,      1060.90,      1060.90,      1060.20,      1060.20,                    84829.90,80, ,3,      1077.00,       960.35
N,NJ,86LTF24,SERENCD 8.60% SR.IV OP8,      1054.05,      1055.00,      1055.00,      1055.00,      1055.00,                    52750.00,50, ,1,      1058.80,       996.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       940.00,       940.00,       940.00,       940.00,       940.00,                     9400.00,10, ,1,       999.00,       840.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,       940.00,       935.00,       939.00,       932.00,       939.00,                   846579.95,905, ,17,      1175.00,       920.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                   150000.00,150, ,4,      1040.00,       930.00
N,NL,829LTF24,SERENCD 8.29% SR.V OP10,      1002.00,      1003.55,      1003.55,      1003.55,      1003.55,                     3010.65,3, ,1,      1099.00,       977.93
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       936.99,       936.99,       936.99,       930.00,       932.96,                  1295419.82,1388, ,16,       972.00,       835.20
N,NL,94IFCI25,9.40 % SRNCD TR II SR III,      1040.00,      1035.00,      1036.40,      1035.00,      1036.34,                   611342.00,590, ,8,      1089.00,       955.00
N,NM,1030ICCL28,SEC RE NCD 10.30% SR.VII,      1160.00,      1390.00,      1390.00,      1390.00,      1390.00,                     1390.00,1, ,1,      1390.00,       810.50
N,NN,729IRFC26,TAX FREE  7.29% SR. 107A,      1080.00,      1080.00,      1080.00,      1080.00,      1080.00,                   113400.00,105, ,4,      1104.00,      1018.03
N,NN,835SCL23,SEC RE NCD 9% SR.IV,      1075.80,      1083.50,      1083.50,      1083.50,      1083.50,                     3250.50,3, ,1,      1139.00,       960.03
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1165.05,      1165.10,      1165.10,      1165.10,      1165.10,                   151463.00,130, ,1,      1208.85,      1097.25
N,NO,82SCL24,SEC RE NCD SR.V,      1281.26,      1320.55,      1320.55,      1285.25,      1285.25,                    89338.50,68, ,3,      1320.55,      1125.45
N,NQ,875IIFL26A,SEC RE NCD 8.75% SR.III,      1001.20,      1002.15,      1002.15,      1001.80,      1001.80,                   119252.30,119, ,3,      1029.00,       941.00
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,       989.00,       989.00,       989.00,       987.50,       987.50,                    98826.50,100, ,3,      1030.00,       955.00
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1010.33,      1011.33,      1011.33,      1010.00,      1010.00,                   192085.90,190, ,4,      1286.00,       952.50
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       900.25,       908.00,       908.00,       905.00,       908.00,                   299490.00,330, ,6,       980.00,       835.80
N,NS,ICCL25,SEC RE NCD SR.III,      1087.80,      1087.80,      1100.00,      1087.80,      1100.00,                   710000.00,651, ,5,      1100.00,       950.20
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,       941.00,       940.20,       940.20,       940.20,       940.20,                   168295.80,179, ,1,      1035.00,       894.00
N,NV,11DLSL25,SEC RE NCD 11% SR.V,      1038.80,      1038.80,      1038.80,      1038.80,      1038.80,                    10388.00,10, ,1,      1112.00,       869.00
N,NV,835IFL25,SEC RE NCD 8.35% SR.I,       980.00,       985.00,       985.00,       984.00,       984.00,                    65973.00,67, ,2,      1049.00,       910.00
N,NW,DLSL25,SEC RE NCD 0% SR.VI,      1285.50,      1253.45,      1253.45,      1253.45,      1253.45,                    25069.00,20, ,1,      1475.00,      1106.63
N,NW,IIFLZC25B,SEC RE NCD 0% SR.II,      1055.00,      1055.00,      1055.00,      1055.00,      1055.00,                    10550.00,10, ,2,      1071.35,       945.00
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       905.01,       910.90,       910.90,       895.00,       895.00,                    35275.00,39, ,5,       969.90,       850.00
N,NZ,890ICCL23A,SEC RE NCD 10.03% SR.VIII,       902.10,       902.10,       902.10,       902.10,       902.10,                    45105.00,50, ,2,      1059.90,       875.00
N,Y0,9IIFL28,SEC RE NCD 9% SR.VI,       905.00,       912.00,       912.00,       907.00,       907.00,                    60974.00,67, ,4,      1000.00,       871.00
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,       995.00,      1010.00,      1055.00,       975.05,       975.05,                   254879.10,252, ,8,      1055.00,       880.00
N,Y5,1049DLS25A,SEC RE NCD 10.49% SR.VII,       971.32,       980.00,       984.00,       960.10,       979.90,                   435228.60,447, ,16,      1150.00,       900.30
N,YA,925SCFL27,SEC RE NCD 9.25% SR.VII,       992.55,       974.69,       974.69,       974.69,       974.69,                      974.69,1, ,1,       999.99,       900.00
N,YC,889SCFL27,SEC RE NCD 8.89% SR.VIII,       943.00,       970.00,       970.00,       939.00,       939.00,                     8637.00,9, ,2,      1080.00,       805.10
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1034.00,      1032.00,      1032.00,      1032.00,      1032.00,                    10320.00,10, ,1,      1059.00,      1005.00
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1032.16,      1032.80,      1032.80,      1032.50,      1032.50,                   103260.50,100, ,3,      1110.00,      1000.00
N,YM,9SCL25,SEC RE NCD 9% SR.IV,       990.19,      1008.55,      1008.55,      1008.55,      1008.55,                     5042.75,5, ,1,      1053.35,       950.20
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1028.00,      1038.00,      1038.00,      1038.00,      1038.00,                     7266.00,7, ,1,      1133.00,      1000.00
N,YS,97SFL28,SEC RED NCD 9.70% SR. V,      1104.91,      1105.00,      1120.00,      1105.00,      1120.00,                   121700.00,110, ,2,      1184.86,      1030.00
N,YV,905SCL24,SEC RE NCD 9.05% SR.I,      1080.55,      1078.00,      1078.00,      1078.00,      1078.00,                    10780.00,10, ,1,      1080.55,       950.85
N,YY,1015SCFL29,SEC RE NCD 10.15% SR VII,       990.00,       974.70,       974.70,       970.00,       970.00,                    99924.10,103, ,2,       990.00,       825.45
N,YZ,88SCFL25,SEC RE NCD 8.70% SR.III,       978.35,      1002.85,      1002.85,      1002.85,      1002.85,                     1002.85,1, ,1,      1150.00,       840.20
N,YZ,97SFL29,SEC RED NCD 9.70% SR. V,      1087.09,      1088.00,      1088.00,      1088.00,      1088.00,                   103360.00,95, ,1,      1183.00,      1010.11
N,Z5,931SFL26,SEC RED NCD 9.31% SR.III,      1027.00,      1027.00,      1027.00,      1027.00,      1027.00,                    10270.00,10, ,1,      1071.12,       980.00
N,Z7,915SCL27,SEC RE NCD 9.55% SR.VII,      1001.89,       991.17,       991.17,       991.00,       991.00,                    49551.70,50, ,3,      1175.00,       815.40
N,Z8,1025SCL34,SEC RE NCD 10.25% SR XII,       950.00,       970.00,       970.00,       950.00,       950.00,                    57250.00,60, ,5,      1000.00,       900.06
N,ZH,9SFL25A,SEC RED NCD 9% SR.V,      1054.00,      1042.01,      1042.01,      1042.01,      1042.01,                    69814.67,67, ,1,      1081.00,       992.00
N,ZK,SFLZC25A,SEC RED NCD SR.VIII,      1453.00,      1475.00,      1485.00,      1475.00,      1480.00,                    73915.00,50, ,3,      1485.00,      1202.00
N,ZR,894SCL24,SEC RE NCD 8.94% SR.II,       979.90,       979.90,       979.90,       979.90,       979.90,                     9799.00,10, ,1,      1134.00,       810.50
N,ZT,1025SCL34A,SEC RE NCD 10.25% SR XII,       990.00,       990.00,       990.00,       990.00,       990.00,                      990.00,1, ,1,      1010.00,       970.00
N,ZY,894SCL27,SEC RE NCD 9.80% SR.VII,       900.00,       900.00,       900.00,       900.00,       900.00,                    81000.00,90, ,3,      1036.00,       800.00
