Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092024,1667967481,0002449
Trade Date <04-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2188,SWSOLAR,EQ,1457617,854064,58.59
20,2189,SYLVANPLY,SM,48000,30000,62.50
20,2190,SYMPHONY,EQ,117204,70975,60.56
20,2191,SYNCOMF,EQ,11452942,4587327,40.05
20,2192,SYNGENE,EQ,2638951,1580879,59.91
20,2193,SYNOPTICS,SM,1800,1800,100.00
20,2194,SYRMA,EQ,317884,233091,73.33
20,2195,SYSTANGO,SM,21600,14800,68.52
20,2196,TAC,SM,44400,33600,75.68
20,2197,TAJGVK,EQ,196937,94176,47.82
20,2198,TAKE,EQ,151510,89377,58.99
20,2199,TALBROAUTO,EQ,139371,68773,49.35
20,2200,TANLA,EQ,441079,209351,47.46
20,2201,TAPIFRUIT,SM,3750,3750,100.00
20,2202,TARACHAND,EQ,18394,11737,63.81
20,2203,TARSONS,EQ,21944,12922,58.89
20,2204,TASTYBITE,EQ,3238,1502,46.39
20,2205,TATACHEM,EQ,1108263,374368,33.78
20,2206,TATACOMM,EQ,178351,82341,46.17
20,2207,TATACONSUM,EQ,1633635,876943,53.68
20,2208,TATAELXSI,EQ,156852,65322,41.65
20,2209,TATAGOLD,EQ,3158814,2667294,84.44
20,2210,TATAINVEST,EQ,114173,40292,35.29
20,2211,TATAMOTORS,EQ,4665908,1978369,42.40
20,2212,TATAPOWER,EQ,14761838,7108779,48.16
20,2213,TATASTEEL,EQ,39613696,20272632,51.18
20,2214,TATATECH,EQ,2328712,1195063,51.32
20,2215,TATSILV,EQ,1465224,1428619,97.50
20,2216,TATVA,EQ,36130,17212,47.64
20,2217,TBI,ST,14400,14400,100.00
20,2218,TBOTEK,EQ,129310,50547,39.09
20,2219,TBZ,EQ,4904188,1091975,22.27
20,2220,TCI,EQ,29664,10361,34.93
20,2221,TCIEXP,EQ,20584,10720,52.08
20,2222,TCL,SM,88800,64800,72.97
20,2223,TCPLPACK,EQ,11159,6167,55.26
20,2224,TCS,EQ,1265505,824480,65.15
20,2225,TDPOWERSYS,EQ,443774,174118,39.24
20,2226,TEAMLEASE,EQ,26052,18232,69.98
20,2227,TECH,EQ,37461,25760,68.76
20,2228,TECHLABS,ST,19000,19000,100.00
20,2229,TECHM,EQ,1643875,1028358,62.56
20,2230,TEGA,EQ,15966,8714,54.58
20,2231,TEJASNET,EQ,256208,138625,54.11
20,2232,TEMBO,EQ,1199421,319854,26.67
20,2233,TEXINFRA,EQ,578494,292026,50.48
20,2234,TEXMOPIPES,EQ,80166,47210,58.89
20,2235,TEXRAIL,EQ,1785127,714780,40.04
20,2236,TFCILTD,EQ,866969,633312,73.05
20,2237,TGBHOTELS,EQ,403024,195326,48.47
20,2238,TGL,ST,48000,39600,82.50
20,2239,THANGAMAYL,EQ,2576313,1370380,53.19
20,2240,THEJO,EQ,19282,8680,45.02
20,2241,THEMISMED,EQ,50005,24985,49.97
20,2242,THERMAX,EQ,52410,21780,41.56
20,2243,THOMASCOOK,EQ,2312347,1604243,69.38
20,2244,THYROCARE,EQ,95113,38639,40.62
20,2245,TI,EQ,3895618,1280821,32.88
20,2246,TIDEWATER,EQ,26044,8334,32.00
20,2247,TIIL,EQ,20977,9192,43.82
20,2248,TIINDIA,EQ,110233,69722,63.25
20,2249,TIMESCAN,SM,32000,30000,93.75
20,2250,TIMESGTY,EQ,835,525,62.87
20,2251,TIMETECHNO,EQ,1907546,472246,24.76
20,2252,TIMKEN,EQ,113605,74720,65.77
20,2253,TIPSFILMS,EQ,11468,6615,57.68
20,2254,TIPSINDLTD,EQ,297296,157808,53.08
20,2255,TIRUMALCHM,EQ,260697,113089,43.38
20,2256,TIRUPATI,SM,2750,2750,100.00
20,2257,TITAGARH,EQ,898053,341825,38.06
20,2258,TITAN,EQ,529856,217653,41.08
20,2259,TMB,EQ,94265,41284,43.80
20,2260,TNIDETF,EQ,81061,65503,80.81
20,2261,TNPETRO,EQ,259561,123028,47.40
20,2262,TNPL,EQ,126894,82540,65.05
20,2263,TOKYOPLAST,EQ,75497,33110,43.86
20,2264,TOP100CASE,EQ,144647,125639,86.86
20,2265,TORNTPHARM,EQ,176935,101813,57.54
20,2266,TORNTPOWER,EQ,826409,381349,46.15
20,2267,TRACXN,EQ,784054,273430,34.87
20,2268,TRANSTEEL,SM,70000,54000,77.14
20,2269,TRANSWIND,SM,28000,28000,100.00
20,2270,TREEHOUSE,EQ,171648,167464,97.56
20,2271,TREJHARA,EQ,52978,33183,62.64
20,2272,TREL,EQ,390580,153840,39.39
20,2273,TRENT,EQ,576206,369120,64.06
20,2274,TRF,EQ,20637,13866,67.19
20,2275,TRIDENT,EQ,6601936,2485267,37.64
20,2276,TRIDHYA,SM,45000,39000,86.67
20,2277,TRITURBINE,EQ,1382930,394782,28.55
20,2278,TRIVENI,EQ,1004823,238797,23.77
20,2279,TROM,SM,150000,102000,68.00
20,2280,TRU,EQ,2332541,1034629,44.36
20,2281,TRUST,ST,92400,88800,96.10
20,2282,TTKHLTCARE,EQ,11045,7441,67.37
20,2283,TTKPRESTIG,EQ,121623,70412,57.89
20,2284,TTL,EQ,19030,10265,53.94
20,2285,TTML,EQ,8732200,2342430,26.83
20,2286,TUNWAL,SM,238000,148000,62.18
20,2287,TV18BRDCST,EQ,9354983,2982204,31.88
20,2288,TVSHLTD,EQ,4769,2846,59.68
20,2289,TVSMOTOR,EQ,512770,313496,61.14
20,2290,TVSSCS,EQ,1845557,948755,51.41
20,2291,TVSSRICHAK,EQ,6890,2955,42.89
20,2292,TVTODAY,EQ,231799,102608,44.27
20,2293,UBL,EQ,450358,308631,68.53
20,2294,UCAL,EQ,148473,73252,49.34
20,2295,UCOBANK,EQ,3857406,1325392,34.36
20,2296,UDAICEMENT,EQ,571881,330689,57.82
20,2297,UDS,EQ,942467,396385,42.06
20,2298,UFLEX,EQ,211675,90803,42.90
20,2299,UFO,EQ,130311,57213,43.90
20,2300,UGARSUGAR,EQ,1000465,309203,30.91
20,2301,UGROCAP,EQ,177257,109005,61.50
20,2302,UJJIVANSFB,EQ,9191214,5741269,62.46
20,2303,ULTRACEMCO,EQ,198185,107300,54.14
20,2304,UMA,SM,776000,408000,52.58
20,2305,UNICHEMLAB,EQ,8043,4654,57.86
20,2306,UNIDT,EQ,22390,14913,66.61
20,2307,UNIECOM,EQ,3067200,716292,23.35
